CÓDIGO;DESCRIPCIÓN
1040;ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL.
1050;ELABORACIÓN DE PRODUCTOS LÁCTEOS.
1061;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA.
1062;ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN.
1071;ELABORACIÓN DE PRODUCTOS DE PANADERÍA.
1072;ELABORACIÓN DE AZÚCAR.
1073;ELABORACIÓN DE CACAO, CHOCOLATE Y PRODUCTOS DE CONFITERÍA.
1074;ELABORACIÓN DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINÁCEOS SIMILARES.
1075;ELABORACIÓN DE COMIDAS Y PLATOS PREPARADOS.
1079;ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.
1080;ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES.
1101;DESTILACIÓN, RECTIFICACIÓN Y MEZCLA DE BEBIDAS ALCOHÓLICAS.
1102;ELABORACIÓN DE VINOS.
1103;ELABORACIÓN DE BEBIDAS MALTEADAS Y DE MALTA.
1104;"ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS; PRODUCCIÓN DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS."
1200;ELABORACIÓN DE PRODUCTOS DE TABACO.
1311;PREPARACIÓN E HILATURA DE FIBRAS TEXTILES.
1312;TEJEDURA DE PRODUCTOS TEXTILES.
1313;SERVICIO DE ACABADO DE PRODUCTOS TEXTILES.
1391;FABRICACIÓN DE TEJIDOS DE PUNTO Y GANCHILLO.
1392;FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR.
1393;FABRICACIÓN DE TAPICES Y ALFOMBRAS.
1394;FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES.
1399;FABRICACIÓN DE OTROS PRODUCTOS TEXTILES N.C.P.
1410;FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL.
1420;FABRICACIÓN DE ARTÍCULOS DE PIEL.
1430;FABRICACIÓN DE ARTÍCULOS DE PUNTO Y GANCHILLO.
1511;"CURTIDO Y ADOBO DE CUEROS; ADOBO Y TEÑIDO DE PIELES."
1512;FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y ARTÍCULOS SIMILARES, ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA.
1520;FABRICACIÓN DE CALZADO.
1610;ASERRADO Y ACEPILLADURA DE MADERA.
1621;FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO Y TABLEROS A BASE DE MADERA.
1622;FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES.
1623;FABRICACIÓN DE RECIPIENTES DE MADERA.
1629;"FABRICACIÓN DE OTROS PRODUCTOS DE MADERA; FABRICACIÓN DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES."
1701;FABRICACIÓN DE PASTA DE MADERA, PAPEL Y CARTÓN.
1702;FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN.
1709;FABRICACIÓN DE OTROS ARTÍCULOS DEL PAPEL Y CARTÓN.
1811;ACTIVIDADES DE IMPRESIÓN.
1812;ACTIVIDADES DE SERVICIOS RELACIONADOS CON LA IMPRESIÓN.
1820;REPRODUCCIÓN DE GRABACIONES.
1910;FABRICACIÓN DE PRODUCTOS DE HORNO DE COQUE.
1920;FABRICACIÓN DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO.
2011;FABRICACIÓN DE SUBSTANCIAS QUÍMICAS BÁSICAS.
2012;FABRICACIÓN DE ABONOS Y COMPUESTOS DE NITRÓGENO.
2013;FABRICACIÓN DE PLÁSTICOS Y CAUCHOS SINTÉTICOS EN FORMAS PRIMARIAS.
2021;FABRICACIÓN DE PLAGUICIDAS Y OTROS PRODUCTOS QUÍMICOS DE USO AGROPECUARIO.
2022;FABRICACIÓN DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES, TINTAS DE IMPRENTA Y MASILLAS.
2023;FABRICACIÓN DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR Y PULIR, PERFUMES Y PREPARADOS DE TOCADOR.
2029;FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS N.C.P.
2030;FABRICACIÓN DE FIBRAS ARTIFICIALES.
2100;FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO.
2211;"FABRICACIÓN DE CUBIERTAS Y CÁMARAS DE CAUCHO; RECAUCHUTADO Y RENOVACIÓN DE CUBIERTAS DE CAUCHO."
2219;FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO.
2220;FABRICACIÓN DE PRODUCTOS DE PLÁSTICO.
2310;FABRICACIÓN DE VIDRIO Y PRODUCTOS DE VIDRIO.
2391;FABRICACIÓN DE PRODUCTOS REFRACTARIOS.
2392;FABRICACIÓN DE MATERIALES DE CONSTRUCCIÓN DE ARCILLA.
2393;FABRICACIÓN DE OTROS PRODUCTOS DE PORCELANA Y DE CERÁMICA.
2394;FABRICACIÓN DE CEMENTO, CAL Y YESO.
2395;FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN, DE CEMENTO Y YESO.
2396;CORTE, TALLADO Y ACABADO DE LA PIEDRA.
2399;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS N.C.P.
2410;INDUSTRIAS BÁSICAS DE HIERRO Y ACERO.
2420;FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS.
2431;FUNDICIÓN DE HIERRO Y ACERO.
2432;FUNDICIÓN DE METALES NO FERROSOS.
2511;FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL.
2512;FABRICACIÓN DE TANQUES, DEPÓSITOS Y RECIPIENTES DE METAL.
2513;FABRICACIÓN DE GENERADORES DE VAPOR, EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACCIÓN CENTRAL.
2520;FABRICACIÓN DE ARMAS Y MUNICIONES.
2591;"FORJA, PRENSADO, ESTAMPADO Y LAMINADO DE METALES; PULVIMETALURGIA."
2592;"TRATAMIENTO Y REVESTIMIENTO DE METALES; MAQUINADO."
2593;FABRICACIÓN DE ARTÍCULOS DE CUCHILLERÍA, HERRAMIENTAS DE MANO Y ARTÍCULOS DE FERRETERÍA.
2599;FABRICACIÓN DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.
2610;FABRICACIÓN DE COMPONENTES Y TABLEROS ELECTRÓNICOS.
2620;FABRICACIÓN DE COMPUTADORAS Y EQUIPO PERIFÉRICO.
2630;FABRICACIÓN DE EQUIPO DE COMUNICACIONES.
2640;FABRICACIÓN DE APARATOS ELECTRÓNICOS DE CONSUMO.
2651;FABRICACIÓN DE EQUIPOS DE MEDICIÓN, PRUEBA, NAVEGACIÓN, CONTROL Y DE RELOJES.
2652;FABRICACIÓN DE RELOJES.
2660;FABRICACIÓN DE EQUIPO DE IRRADIACIÓN, Y EQUIPO ELECTRÓNICO DE USO MEDICO Y TERAPÉUTICO.
2670;FABRICACIÓN DE INSTRUMENTOS ÓPTICOS Y EQUIPO FOTOGRÁFICOS.
2680;FABRICACIÓN DE SOPORTES MAGNÉTICOS Y ÓPTICOS.
2710;FABRICACIÓN DE MOTORES, GENERADORES, TRANSFORMADORES ELÉCTRICOS Y APARATOS DE DISTRIBUCIÓN Y CONTROL DE LA ENERGÍA ELÉCTRICA.
2720;FABRICACIÓN DE PILAS, BATERÍAS Y ACUMULADORES.
2731;FABRICACIÓN DE CABLES DE FIBRA ÓPTICA.
2732;FABRICACIÓN DE OTROS HILOS Y CABLES ELÉCTRICOS.
2733;FABRICACIÓN DE DISPOSITIVOS DE CABLEADO.
2740;FABRICACIÓN DE EQUIPO ELÉCTRICO DE ILUMINACIÓN.
2750;FABRICACIÓN DE APARATOS DE USO DOMÉSTICO.
2790;FABRICACIÓN DE OTROS TIPOS DE EQUIPO ELÉCTRICO.
2811;FABRICACIÓN DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.
2812;FABRICACIÓN DE EQUIPO DE PROPULSIÓN DE FLUIDOS.
2813;FABRICACIÓN DE OTRAS BOMBAS, COMPRESORES, GRIFOS Y VÁLVULAS.
2814;FABRICACIÓN DE COJINETES, ENGRANAJES, TRENES DE ENGRANAJES Y PIEZAS DE TRANSMISIÓN.
2815;FABRICACIÓN DE HORNOS Y QUEMADORES.
2816;FABRICACIÓN DE EQUIPO DE ELEVACIÓN Y MANIPULACIÓN.
2817;FABRICACIÓN DE MAQUINARIA Y EQUIPO DE OFICINA (EXCEPTO COMPUTADORAS Y EQUIPO PERIFÉRICO).
2818;FABRICACIÓN DE HERRAMIENTAS DE MANO MOTORIZADAS.
2819;FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA DE USO GENERAL.
2821;FABRICACIÓN DE MAQUINARIA AGROPECUARIA Y FORESTAL.
2822;FABRICACIÓN DE MAQUINARIA PARA LA CONFORMACIÓN DE METALES Y DE MÁQUINAS HERRAMIENTA.
2823;FABRICACIÓN DE MAQUINARIA METALÚRGICA.
2824;FABRICACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCIÓN.
2825;FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO.
2826;FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CUEROS.
2829;FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL.
2910;FABRICACIÓN DE VEHÍCULOS AUTOMOTORES.
2920;"FABRICACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES; FABRICACIÓN DE REMOLQUES Y SEMIRREMOLQUES."
2930;FABRICACIÓN DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES.
3011;CONSTRUCCIÓN DE BUQUES Y ESTRUCTURAS FLOTANTES.
3012;CONSTRUCCIÓN DE EMBARCACIONES DE RECREO Y DEPORTE.
3020;FABRICACIÓN DE LOCOMOTORAS Y MATERIAL RODANTE.
3030;FABRICACIÓN DE AERONAVES Y NAVES ESPECIALES Y MAQUINARIA CONEXA.
3040;FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE.
3091;FABRICACIÓN DE MOTOCICLETAS.
3092;FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS PARA INVÁLIDOS.
3099;FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.
3100;FABRICACIÓN DE MUEBLES.
3211;FABRICACIÓN DE JOYAS Y ARTÍCULOS CONEXOS.
3212;FABRICACIÓN DE BISUTERÍA Y ARTÍCULOS CONEXOS.
3220;FABRICACIÓN DE INSTRUMENTOS MUSICALES.
3230;FABRICACIÓN DE ARTÍCULOS DE DEPORTE.
3240;FABRICACIÓN DE JUEGOS Y JUGUETES.
3250;FABRICACIÓN DE INSTRUMENTOS Y MATERIALES MÉDICOS Y ODONTOLÓGICOS.
3290;OTRAS INDUSTRIAS MANUFACTURERAS N.C.P.
3311;REPARACIÓN DE PRODUCTOS ELABORADOS DE METAL.
3312;REPARACIÓN DE MAQUINARIA.
3313;REPARACIÓN DE EQUIPO ELECTRÓNICO Y ÓPTICO.
3314;REPARACIÓN DE EQUIPO ELÉCTRICO.
3315;REPARACIÓN DE EQUIPO DE TRANSPORTE, EXCEPTO VEHÍCULOS AUTOMOTORES.
3319;REPARACIÓN DE OTROS TIPOS DE EQUIPO.
3320;INSTALACIÓN DE MAQUINARIA Y EQUIPO INDUSTRIALES.
3510;GENERACIÓN, TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA.
3520;"FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍAS."
3530;SUMINISTRO DE VAPOR Y DE AIRE ACONDICIONADO.
3600;CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA.
3700;EVACUACIÓN DE AGUAS RESIDUALES.
3811;RECOLECCIÓN DE DESECHOS NO PELIGROSOS.
3812;RECOLECCIÓN DE DESECHOS PELIGROSOS.
3821;TRATAMIENTO Y ELIMINACIÓN DE DESECHOS NO PELIGROSOS.
3822;TRATAMIENTO Y ELIMINACIÓN DE DESECHOS PELIGROSOS.
3830;RECUPERACIÓN DE MATERIALES.
3900;ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE  GESTIÓN DE DESECHOS.
4100;CONSTRUCCIÓN DE EDIFICIOS.
4210;CONSTRUCCIÓN DE CARRETERAS Y LÍNEAS DE FERROCARRIL.
4220;CONSTRUCCIÓN DE PROYECTOS DE SERVICIOS PÚBLICOS.
4290;CONSTRUCCIÓN DE OTRAS OBRAS DE INGENIERÍA CIVIL.
4311;DEMOLICIÓN.
4312;PREPARACIÓN DEL TERRENO.
4321;INSTALACIONES ELÉCTRICAS.
4322;FONTANERÍA (PLOMERÍA, GASFITERÍA) E INSTALACIÓN DE CALEFACCIÓN Y AIRE ACONDICIONADO.
4329;OTRAS INSTALACIONES PARA OBRAS DE CONSTRUCCIÓN.
4330;TERMINACIÓN Y ACABADO DE EDIFICIOS.
4390;OTRAS ACTIVIDADES ESPECIALIZADAS DE CONSTRUCCIÓN.
4510;VENTA DE VEHÍCULOS AUTOMOTORES.
4520;MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
4530;VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES.
4540;VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS.
4610;VENTA AL POR MAYOR A CAMBIO DE UNA COMISIÓN O POR CONTRATO.
4620;VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS.
4630;VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO.
4641;VENTA AL POR MAYOR DE TEXTILES, PRENDAS DE VESTIR Y CALZADO.
4649;VENTA AL POR MAYOR DE OTROS ENSERES DOMÉSTICOS.
4651;VENTA AL POR MAYOR DE COMPUTADORAS, EQUIPO Y PROGRAMAS INFORMÁTICOS.
4652;VENTA AL POR MAYOR DE EQUIPO, PARTES Y PIEZAS ELECTRÓNICOS Y DE TELECOMUNICACIONES.
4653;VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO Y MATERIALES AGROPECUARIOS.
4659;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO.
4661;VENTA AL POR MAYOR DE COMBUSTIBLES SÓLIDOS, LÍQUIDOS Y GASEOSOS Y PRODUCTOS CONEXOS.
4662;VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS.
4663;VENTA AL POR MAYOR DE MATERIALES PARA LA CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA, EQUIPO, MATERIALES DE FONTANERÍA (PLOMERÍA O GASFITERÍA) Y CALEFACCIÓN.
4669;VENTA AL POR MAYOR DE DESPERDICIOS, DESECHOS, CHATARRA Y OTROS PRODUCTOS N.C.P.
4690;VENTA AL POR MAYOR DE OTROS PRODUCTOS NO ESPECIALIZADO.
4711;VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS CON PREDOMINIO DE LA VENTA DE ALIMENTOS, BEBIDAS O TABACO.
4719;OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS.
4721;VENTA AL POR MENOR DE ALIMENTOS EN COMERCIOS ESPECIALIZADOS.
4722;VENTA AL POR MENOR DE BEBIDAS EN COMERCIOS ESPECIALIZADOS.
4723;VENTA AL POR MENOR DE TABACO EN COMERCIOS ESPECIALIZADOS.
4730;VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHÍCULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS.
4741;VENTA AL POR MENOR DE COMPUTADORES, EQUIPO PERIFÉRICO, PROGRAMAS INFORMÁTICOS Y EQUIPO DE TELECOMUNICACIONES EN COMERCIOS ESPECIALIZADOS.
4742;VENTA AL POR MENOR DE EQUIPO DE SONIDO Y VÍDEO EN COMERCIOS ESPECIALIZADOS.
4751;VENTA AL POR MENOR DE PRODUCTOS TEXTILES EN COMERCIOS ESPECIALIZADOS.
4752;VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, PINTURAS Y PRODUCTOS DE VIDRIO EN COMERCIOS ESPECIALIZADOS.
4753;VENTA AL POR MENOR DE TAPICES, ALFOMBRAS Y CUBRIMIENTOS PARA PAREDES Y PISOS EN COMERCIOS ESPECIALIZADOS.
4759;VENTA AL POR MENOR DE APARATOS ELÉCTRICOS DE USO DOMÉSTICO, MUEBLES, EQUIPO DE ILUMINACIÓN Y OTROS ENSERES DOMÉSTICOS EN COMERCIOS ESPECIALIZADOS.
4761;VENTA AL POR MENOR DE LIBROS, PERIÓDICOS Y ARTÍCULOS DE PAPELERÍA EN COMERCIOS ESPECIALIZADOS.
4762;VENTA AL POR MENOR DE GRABACIONES DE MÚSICA Y DE VÍDEO EN COMERCIOS ESPECIALIZADOS.
4763;VENTA AL POR MENOR DE EQUIPO DE DEPORTE EN COMERCIOS ESPECIALIZADOS.
4764;VENTA AL POR MENOR DE JUEGOS Y JUGUETES EN COMERCIOS ESPECIALIZADOS.
4771;VENTA AL POR MENOR DE PRENDAS DE VESTIR, CALZADO Y ARTÍCULOS DE CUERO EN COMERCIOS ESPECIALIZADOS.
4772;VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES, COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS.
4773;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS.
4774;VENTA AL POR MENOR DE ARTÍCULOS DE SEGUNDA MANO EN COMERCIOS ESPECIALIZADOS.
4781;VENTA AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO EN PUESTOS DE VENTA Y MERCADOS.
4782;VENTA AL POR MENOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO EN PUESTOS DE VENTA Y MERCADOS.
4789;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PUESTOS DE VENTA Y MERCADOS.
4791;VENTA AL POR MENOR POR CORREO Y POR INTERNET.
4799;OTRAS ACTIVIDADES DE VENTA AL POR MENOR NO REALIZADAS EN COMERCIOS, PUESTOS DE VENTA O MERCADOS.
4911;TRANSPORTE INTERURBANO DE PASAJEROS POR FERROCARRIL.
4912;TRANSPORTE DE CARGA POR FERROCARRIL.
4921;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR VÍA TERRESTRE.
4922;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VÍA TERRESTRE.
4923;TRANSPORTE DE CARGA POR CARRETERA.
4930;TRANSPORTE POR TUBERÍAS.
5011;TRANSPORTE DE PASAJEROS MARÍTIMO Y DE CABOTAJE.
5012;TRANSPORTE DE CARGA MARÍTIMO Y DE CABOTAJE.
5021;TRANSPORTE DE PASAJEROS POR VÍAS DE NAVEGACIÓN INTERIORES.
5022;TRANSPORTE DE CARGA, POR VÍAS DE NAVEGACIÓN INTERIORES.
5110;TRANSPORTE DE PASAJEROS POR VÍA AÉREA.
5120;TRANSPORTE DE CARGA POR VÍA AÉREA.
5210;ALMACENAMIENTO Y DEPÓSITO.
5221;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE TERRESTRE.
5222;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE ACUÁTICO.
5223;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE AÉREO.
5224;MANIPULACIÓN DE CARGA.
5229;OTRAS ACTIVIDADES DE APOYO AL TRANSPORTE.
5310;ACTIVIDADES POSTALES.
5320;ACTIVIDADES DE MENSAJERÍA.
5510;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS.
5520;ACTIVIDADES DE CAMPAMENTOS, PARQUES DE VEHÍCULOS DE RECREO Y PARQUES DE CARAVANAS.
5590;OTRAS ACTIVIDADES DE ALOJAMIENTO.
5610;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MÓVIL DE COMIDAS.
5621;SUMINISTRO DE COMIDAS POR ENCARGO.
5629;OTRAS ACTIVIDADES DE SERVICIO DE COMIDAS.
5630;ACTIVIDADES DE SERVICIO DE BEBIDAS.
5811;PUBLICACIÓN DE LIBROS, PERIÓDICOS Y OTRAS ACTIVIDADES DE PUBLICACIÓN.
5812;PUBLICACIÓN DE DIRECTORIOS Y DE LISTAS DE CORREO.
5813;PUBLICACIÓN DE PERIÓDICOS, DIARIOS Y REVISTAS.
5819;OTRAS PUBLICACIONES.
5820;PUBLICACIÓN DE PROGRAMAS INFORMÁTICOS.
5911;ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN.
5912;ACTIVIDADES DE POSTPRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN.
5913;ACTIVIDADES DE DISTRIBUCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN.
5914;ACTIVIDADES DE EXHIBICIÓN DE PELÍCULAS CINEMATOGRÁFICAS Y CINTAS DE VÍDEO.
5920;ACTIVIDADES DE GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA.
6010;TRANSMISIONES DE RADIO.
6020;PROGRAMACIÓN Y TRANSMISIONES DE TELEVISIÓN.
6110;ACTIVIDADES DE TELECOMUNICACIONES ALÁMBRICA.
6120;ACTIVIDADES DE TELECOMUNICACIONES INALÁMBRICAS.
6130;ACTIVIDADES DE TELECOMUNICACIONES POR SATÉLITE.
6190;OTRAS ACTIVIDADES DE TELECOMUNICACIONES.
6201;ACTIVIDADES DE PROGRAMACIÓN INFORMÁTICA.
6202;ACTIVIDADES DE CONSULTORÍA DE INFORMÁTICA Y DE GESTIÓN DE INSTALACIONES INFORMÁTICAS.
6209;OTRAS ACTIVIDADES DE TECNOLOGÍA DE LA INFORMACIÓN Y DE SERVICIOS INFORMÁTICOS.
6311;PROCESAMIENTO DE DATOS, HOSPEDAJE Y ACTIVIDADES CONEXAS.
6312;PORTALES WEB.
6391;ACTIVIDADES DE AGENCIAS DE NOTICIAS.
6399;OTRAS ACTIVIDADES DE SERVICIOS DE INFORMACIÓN N.C.P.
6411;BANCA CENTRAL.
6419;OTROS TIPOS DE INTERMEDIACIÓN MONETARIA.
6420;ACTIVIDADES DE SOCIEDADES DE CARTERA.
6430;FONDOS Y SOCIEDADES DE INVERSIÓN Y ENTIDADES FINANCIERAS SIMILARES.
6491;ARRENDAMIENTO FINANCIERO.
6492;OTRAS ACTIVIDADES DE CONCESIÓN DE CRÉDITO.
6499;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES, N.C.P.
6511;SEGUROS DE VIDA.
6512;SEGUROS GENERALES.
6520;REASEGUROS.
6530;FONDOS DE PENSIÓN.
6611;ADMINISTRACIÓN DE MERCADOS FINANCIEROS.
6612;CORRETAJE DE VALORES Y DE CONTRATOS DE PRODUCTOS BÁSICOS.
6619;OTRAS ACTIVIDADES AUXILIARES A LAS ACTIVIDADES DE SERVICIOS FINANCIEROS.
6621;EVALUACIÓN DE RIESGOS Y DAÑOS.
